PCI,latitude,longitude,device,rsrp
B,35.99854787,-78.93947833,Samsung,-98
F,36.00226364,-78.93718471,Samsung,-87
E,36.00059131,-78.93985593,Samsung,-124
F,36.00148852,-78.93718166,Samsung,-110
D,36.0001819,-78.93883633,Samsung,-83
C,35.99921134,-78.9403539,Samsung,-111
F,36.00348074,-78.93762291,Samsung,-107
E,36.00365677,-78.93740327,Samsung,-110
D,36.00413164,-78.93959746,Samsung,-130
E,36.00284917,-78.93855941,Samsung,-105
D,36.00520385,-78.93770019,Samsung,-119
E,36.00291889,-78.93712412,Samsung,-112
F,36.00197524,-78.93625627,Samsung,-108
F,36.00224622,-78.93545367,Samsung,-121
D,36.00165642,-78.94116826,Samsung,-106
C,36.00161157,-78.94004101,Samsung,-118
F,36.00164345,-78.93603206,Samsung,-114
D,36.00039035,-78.93733685,Samsung,-120
F,36.00075696,-78.93702345,Samsung,-114
D,36.00232923,-78.94029437,Samsung,-131
F,36.00096802,-78.9388349,Samsung,-111
E,36.00242688,-78.94020776,Samsung,-111
F,36.00315282,-78.93774558,Samsung,-98
D,36.00347544,-78.93752849,Samsung,-129
E,36.00167545,-78.93674751,Samsung,-100
F,36.00197339,-78.93672328,Samsung,-96
F,36.00333405,-78.93766467,Samsung,-98
F,36.00146269,-78.93837404,Samsung,-96
C,36.00235363,-78.93678264,Samsung,-131
E,36.00200029,-78.93800272,Samsung,-82
B,35.99894116,-78.9392217,Samsung,-119
C,36.00161062,-78.93774234,Samsung,-127
F,36.00163843,-78.93824448,Samsung,-100
F,36.0038354,-78.93708415,Samsung,-130
D,36.00439668,-78.93959548,Samsung,-127
F,36.00382228,-78.93901452,Samsung,-130
E,36.00306289,-78.93762697,Samsung,-103
F,36.00306289,-78.93762697,Samsung,-106
D,35.99977284,-78.93708317,Samsung,-113
D,36.00295916,-78.9411428,Samsung,-134
F,36.00214679,-78.9360617,Samsung,-112
F,36.00250472,-78.93585188,Samsung,-121
C,36.00158963,-78.94005144,Samsung,-118
E,36.0012944,-78.93650458,Samsung,-118
C,36.00191538,-78.94093439,Samsung,-114
D,36.00061811,-78.93796273,Samsung,-112
D,36.00226596,-78.94031532,Samsung,-113
D,36.00059216,-78.9380174,Samsung,-110
C,35.99941495,-78.93974899,Samsung,-87
E,36.00349987,-78.93753946,Samsung,-108
E,36.00208315,-78.93687542,Samsung,-94
F,36.002723,-78.93738872,Samsung,-81
C,36.00113187,-78.93862971,Samsung,-107
E,36.00322575,-78.93825706,Samsung,-108
E,36.00212825,-78.93710262,Samsung,-93
D,35.99919044,-78.939793,Samsung,-99
C,36.00148555,-78.93745895,Samsung,-122
A,35.99900485,-78.94053627,Samsung,-88
C,36.00129719,-78.93866236,Samsung,-113
A,35.99879743,-78.94067238,Samsung,-81
E,36.00386953,-78.93698949,Samsung,-126
F,36.0050898,-78.93750062,Samsung,-129
D,36.00314462,-78.93772839,Samsung,-130
E,36.00408925,-78.93770556,Samsung,-115
C,35.9997822,-78.93665897,Samsung,-123
D,35.99970704,-78.93752209,Samsung,-103
F,36.00252298,-78.93603683,Samsung,-118
D,35.9998137,-78.93783201,Samsung,-126
F,36.00201731,-78.93658023,Samsung,-106
F,36.00070537,-78.9366441,Samsung,-114
E,36.00176558,-78.93819762,Samsung,-106
F,36.00227636,-78.94031835,Samsung,-110
F,36.00187024,-78.93981343,Samsung,-127
E,36.00116741,-78.93920254,Samsung,-108
F,36.00110521,-78.93817001,Samsung,-98
E,36.00139684,-78.93795884,Samsung,-95
F,36.00316909,-78.93753673,Samsung,-102
C,36.00206122,-78.93675815,Samsung,-126
D,36.0004479,-78.93960139,Samsung,-99
D,36.00316493,-78.93767573,Samsung,-130
C,36.00217045,-78.9370369,Samsung,-123
D,36.0003595,-78.94023815,Samsung,-107
F,36.00229216,-78.93778982,Samsung,-90
F,36.00354509,-78.93760662,Samsung,-119
A,35.99946644,-78.94020179,Samsung,-110
D,35.99987678,-78.93905806,Samsung,-68
A,35.99828771,-78.93973152,Samsung,-88
